Campaign,Ad Group,Ad Type,Status,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
"[GeniusTax] MTD High-Intent Search","MTD Registration Core",Responsive Search Ad,Enabled,https://geniustax.co.uk/get-started?utm_source=google&utm_medium=cpc&utm_campaign=mtd_high_intent_search&utm_content=mtd_registration_core&utm_term={keyword},pricing,mtd,"Genius Tax — HMRC Auth Agent","Register for MTD Before April 6","11 Days Left to Deadline","MTD Done for You — £29/mo","Making Tax Digital","HMRC Authorised — No Penalties","MTD Registration Tonight","Quarterly Returns Auto-Filed","For Self-Employed & Landlords","Cancel Anytime — No Contracts","Trusted by UK Freelancers","Sign Up in Minutes","April 6 Deadline Alert","Start Today — Launch Pricing","HMRC Authorised. We register you for MTD and file quarterly returns. April 6 deadline — act now.","From £29/month. Fully managed Making Tax Digital service for self-employed and landlords.","Don't risk a penalty. Our team handles your MTD registration. Join hundreds staying compliant.","Essential £29/mo. Growth £49/mo (was £79). Premium £149/mo. Limited launch pricing ends soon."
"[GeniusTax] MTD High-Intent Search","MTD Registration Core",Responsive Search Ad,Enabled,https://geniustax.co.uk/get-started?utm_source=google&utm_medium=cpc&utm_campaign=mtd_high_intent_search&utm_content=mtd_registration_core&utm_term={keyword},pricing,mtd,"Genius Tax — MTD Made Simple","From Just £29/Month","MTD Registration From £199/Year","Cheaper Than Most Accountants","HMRC Authorised — Fully Compliant","April 6 Deadline Alert","No Spreadsheets. No Stress.","Automatic Quarterly Submissions","UK's Simplest MTD Service","Self-Employed? We Handle HMRC","Landlord MTD — Sorted","Launch Pricing Here","Sign Up Under 5 Minutes","Try Risk Free","Join Now","Making Tax Digital doesn't have to be complicated. Genius Tax handles everything.","Essential £29/mo | Growth £49/mo | Premium £149/mo. HMRC Authorised. Launch pricing ends April 6.","We deal with HMRC directly for you. No jargon, no chasing, just compliance.","Hundreds of self-employed workers already use Genius Tax. You're in good hands."
"[GeniusTax] MTD High-Intent Search","MTD Registration Core",Responsive Search Ad,Enabled,https://geniustax.co.uk/get-started?utm_source=google&utm_medium=cpc&utm_campaign=mtd_high_intent_search&utm_content=mtd_registration_core&utm_term={keyword},pricing,mtd,"Behind on MTD? We'll Sort It","Register for Making Tax Digital","Avoid HMRC Late Filing Penalties","MTD Deadline Is April 6","Don't Get Caught Out","HMRC Authorised Agent — UK","We Handle Your Returns","MTD Compliance, Fully Managed","Self-Employed & Landlords Welcome","No Accountancy Degree Required","From £29/Month","Register Tonight — Launch Today","Simple. Compliant. Affordable.","Your Tax. Our Problem.","Genius Tax — Built for Real People","April 6 MTD deadline is coming fast. Register, set up digital records, file returns.","HMRC Authorised Agent. We manage Making Tax Digital for self-employed and landlords.","Still using spreadsheets? Switch to Genius Tax from £29/month. Fully compliant.","Quarterly submissions. Annual returns. HMRC liaison. All included. From £29/month."
"[GeniusTax] MTD High-Intent Search","MTD Software/Tool",Responsive Search Ad,Enabled,https://geniustax.co.uk/get-started?utm_source=google&utm_medium=cpc&utm_campaign=mtd_high_intent_search&utm_content=mtd_software&utm_term={keyword},pricing,mtd,"Best MTD Software for UK","HMRC Approved MTD","Compliant Software Solution","Don't Download Another App","We Handle Your MTD Software","Genius Tax — Software Included","No Integration Headaches","MTD Software Sorted for You","Cloud-Based MTD Platform","UK's Simplest MTD Solution","From £29/Month","April 6 Deadline — Act Now","Software + Support Included","Risk-Free Trial Available","Sign Up Tonight","MTD doesn't need complicated software. Genius Tax handles registration, software, and filing.","HMRC Approved. Cloud-based platform. From £29/month. No separate tool needed.","You don't need to research MTD software. We provide everything you need.","Automatic updates. Cloud-based. HMRC Approved. Fully managed from £29/month."
"[GeniusTax] MTD High-Intent Search","MTD Agent/Accountant",Responsive Search Ad,Enabled,https://geniustax.co.uk/get-started?utm_source=google&utm_medium=cpc&utm_campaign=mtd_high_intent_search&utm_content=mtd_agent&utm_term={keyword},pricing,mtd,"HMRC Authorised MTD Agent","Find Your MTD Agent Here","MTD Accountant — Fully Managed","UK-Based MTD Agent","Professional MTD Compliance","Genius Tax — MTD Agents","MTD Filing Agent You Can Trust","MTD Compliance Sorted","We Do HMRC for You","Expert MTD Support","From £29/Month","April 6 Deadline — Register","Compliance Peace of Mind","MTD Done For You","Work With Experts","Genius Tax is an HMRC Authorised Agent. We register, file, and manage your MTD.","Professional team handles your quarterly returns and HMRC submissions directly.","Self-employed? Landlord? We've got the expertise. No jargon, no stress.","Compliance sorted from £29/month. Cancel anytime. HMRC Authorised Agent."
"[GeniusTax] MTD High-Intent Search","Deadline Urgency",Responsive Search Ad,Enabled,https://geniustax.co.uk/get-started?utm_source=google&utm_medium=cpc&utm_campaign=mtd_high_intent_search&utm_content=mtd_deadline_urgency&utm_term={keyword},pricing,mtd,"April 6 Deadline — 11 Days","MTD Registration Before April 6","Late MTD Registration Help","HMRC Deadline Approaching","Avoid Late Filing Penalty","Register for MTD — Now","Time's Running Out","Last 11 Days to Comply","MTD Deadline This Month","Don't Miss April 6","Register in Minutes","Genius Tax — Fast Setup","Stop Procrastinating","Act Today","Beat the Deadline","The April 6 MTD deadline is real. Register now and avoid HMRC penalties.","11 days left. Genius Tax gets you set up and compliant overnight.","Late registration? We handle it. Get compliant before April 6.","Fast registration. Instant compliance setup. Full HMRC filing from £29/month."
"[GeniusTax] MTD Awareness Search","Problem-Aware (HMRC Quarterly)",Responsive Search Ad,Enabled,https://geniustax.co.uk/get-started?utm_source=google&utm_medium=cpc&utm_campaign=mtd_awareness_search&utm_content=hmrc_quarterly&utm_term={keyword},pricing,mtd,"HMRC Quarterly Reporting Made Simple","Digital Quarterly Tax Returns","Self-Employed Quarterly MTD","Streamline HMRC Reporting","Quarterly Returns — Fully Managed","Genius Tax Quarterly Service","Automated Quarterly Submissions","Self-Employed? We File Quarterly","No Spreadsheets Needed","Digital Tax Reporting System","Easy HMRC Submissions","From £29/Month","April 6 Deadline Alert","Sign Up Today","Simplify Quarterly Tax","HMRC requires quarterly digital tax reporting. We handle your submissions automatically.","Genius Tax files your quarterly returns for you. Simple, compliant, automatic.","No spreadsheets. No manual filings. Automated quarterly submissions to HMRC.","From £29/month. Quarterly returns filed automatically. All done by April 6."
"[GeniusTax] MTD Awareness Search","Digital Tax Returns",Responsive Search Ad,Enabled,https://geniustax.co.uk/get-started?utm_source=google&utm_medium=cpc&utm_campaign=mtd_awareness_search&utm_content=digital_tax_returns&utm_term={keyword},pricing,mtd,"Digital Tax Return Software","Online Self-Assessment MTD","Digital Tax Filing Solution","HMRC Digital Tax Returns","Fully Compliant Tax Returns","Genius Tax Digital Platform","Self-Assessment Made Simple","Genius Tax Gets It Done","Online Tax Return Filing","No Manual Returns Required","Digital Records Kept Safe","From £29/Month","Simple Compliant Service","Register Before April 6","Start Your Digital Journey","Submitting digital tax returns to HMRC doesn't need to be complicated. We help.","Genius Tax handles your digital tax returns. HMRC Authorised. From £29/month.","Online self-assessment made simple. Automated filing. Fully compliant. No stress.","Digital tax returns, quarterly submissions, annual filings. All included £29/mo."
"[GeniusTax] MTD Awareness Search","Self-Employed Tax Digital",Responsive Search Ad,Enabled,https://geniustax.co.uk/get-started?utm_source=google&utm_medium=cpc&utm_campaign=mtd_awareness_search&utm_content=self_employed_digital&utm_term={keyword},pricing,mtd,"Self-Employed Making Tax Digital","Sole Trader MTD Service","Freelancer Digital Tax Setup","Self-Employed Tax Compliance","MTD for Self-Employed Easy","Genius Tax Self-Employed Focus","Sole Trader Support Available","Freelancer-Friendly MTD","Self-Employed Tax Simplified","Compliance Made Easy","From £29/Month","April 6 Registration Alert","Work With Experts","Genius Tax Specializes","Simple Tax Solution","Self-employed? Making Tax Digital applies to you. Genius Tax handles it all.","Sole traders, freelancers, contractors — we manage your MTD compliance.","Registration, quarterly returns, annual filings. All handled. From £29/month.","Freelancer-friendly MTD service. No jargon. HMRC Authorised. Cancel anytime."
"[GeniusTax] Audience-Specific Search","Landlords MTD",Responsive Search Ad,Enabled,https://geniustax.co.uk/get-started?utm_source=google&utm_medium=cpc&utm_campaign=mtd_audience_search&utm_content=mtd_landlords&utm_term={keyword},pricing,property,"MTD for Landlords — Sorted","Property Income MTD Service","Landlord Digital Tax Filing","Buy-to-Let MTD Compliance","Rental Income MTD Handled","Genius Tax Landlord Focus","HMO Landlord Support Here","Property Tax Compliance Easy","Landlord MTD Made Simple","Multiple Properties Welcome","From £29/Month","April 6 Registration Alert","Landlords Trust Genius Tax","Start Your Compliance","Complete Landlord Solution","Landlords earning £50K+ must register for MTD by April 6. Genius Tax handles it.","HMRC Authorised Agent. We register you, file quarterly rental income returns.","One property or ten — Genius Tax keeps you MTD compliant. From £29/month.","Buy-to-let landlords, HMO owners, property investors — don't miss April 6 deadline."
"[GeniusTax] Audience-Specific Search","Trades MTD",Responsive Search Ad,Enabled,https://geniustax.co.uk/get-started?utm_source=google&utm_medium=cpc&utm_campaign=mtd_audience_search&utm_content=mtd_trades&utm_term={keyword},pricing,trades,"MTD for Builders & Trades","Stop Worrying About HMRC","April 6 Deadline — Register Now","HMRC Authorised Agent Here","MTD Sorted While You Work","CIS Workers — MTD Compliant","Self-Employed Builder Focus","From £29/Month","No Paperwork. No Jargon.","Plumber? Electrician? MTD Done","11 Days Left — Act Now","HMRC Handled For You","Tradesmen Love Genius Tax","Built for Working Hands","Quick Compliance Setup","If you're a builder, plumber, electrician earning £50K+, MTD applies April 6.","Genius Tax is HMRC Authorised. We register, file quarterly returns, deal with HMRC.","No accountant jargon. Simple service from £29/month. Keep you HMRC compliant.","CIS subcontractors, sole trader trades — MTD made simple. Sign up in minutes."
"[GeniusTax] Audience-Specific Search","Freelancers & Contractors",Responsive Search Ad,Enabled,https://geniustax.co.uk/get-started?utm_source=google&utm_medium=cpc&utm_campaign=mtd_audience_search&utm_content=mtd_freelancers&utm_term={keyword},pricing,contractors,"MTD for Contractors Ready","Freelancer Digital Tax Setup","IT Contractor MTD Service","Consultant MTD Registration","Contractor Compliance Here","Genius Tax Contractor Focus","IR35-Friendly MTD Service","Contractor Tax Simplified","Freelancer Support Available","From £29/Month","April 6 Deadline Alert","Contractors Welcome Here","Compliance Made Easy","Expert Support Available","Full Contractor Solution","Contractors earning £50K+ need MTD by April 6. Genius Tax handles registration.","HMRC Authorised. We file your quarterly returns and manage HMRC submissions.","IT contractors, consultants, freelancers — simple MTD service from £29/month.","Compliance from £29/month. Cancel anytime. Contractor-focused HMRC team."
"[GeniusTax] Audience-Specific Search","Small Business MTD",Responsive Search Ad,Enabled,https://geniustax.co.uk/get-started?utm_source=google&utm_medium=cpc&utm_campaign=mtd_audience_search&utm_content=small_business_mtd&utm_term={keyword},pricing,business,"Small Business MTD Solution","Growing Business Tax Filing","Small Company Compliance Easy","Digital Tax for Growth","Business Tax Simplified Here","Genius Tax Small Business","Scalable MTD Service","Small Business Focus","From £29/Month","April 6 Registration Alert","Business Compliance","Expert Small Business Team","Growing Business Solution","Simple Compliance Setup","Ready to Scale","Small business earning £50K+? MTD applies from April 6. Get compliant now.","Genius Tax manages MTD for growing businesses. HMRC Authorised Agent.","Simple pricing. Compliant service. Grows with your business. From £29/month.","Digital tax filing for small businesses. Quarterly returns handled. Full compliance."
"[GeniusTax] Competitor Conquest","TaxScouts Alternatives",Responsive Search Ad,Enabled,https://geniustax.co.uk/get-started?utm_source=google&utm_medium=cpc&utm_campaign=mtd_competitor&utm_content=comp_taxscouts&utm_term={keyword},pricing,alternatives,"Better Than TaxScouts","TaxScouts Alternative Here","TaxScouts Competitor Service","Genius Tax vs TaxScouts","Smarter MTD Solution","HMRC Authorised Alternative","Better Pricing Available","TaxScouts Switch Option","Save on MTD Service","From £29/Month","Full Compliance Included","Quality Support Included","Get Started Today","Switch Today, Save Now","Make Your Move","Looking for a TaxScouts alternative? Genius Tax is HMRC Authorised and cheaper.","We offer the same compliance but at better pricing. From £29/month.","Switch to Genius Tax. Save money. Same HMRC approval. Better support.","TaxScouts pricing high? We deliver HMRC compliance from £29/month. No long contracts."
"[GeniusTax] Competitor Conquest","FreeAgent MTD",Responsive Search Ad,Enabled,https://geniustax.co.uk/get-started?utm_source=google&utm_medium=cpc&utm_campaign=mtd_competitor&utm_content=comp_freeagent&utm_term={keyword},pricing,alternatives,"FreeAgent Alternative Here","Better Than FreeAgent","FreeAgent Competitor Service","Genius Tax vs FreeAgent","HMRC Authorised Alternative","Simpler MTD Solution Available","FreeAgent Too Complex?","FreeAgent Switch Option","Save on FreeAgent","From £29/Month","Full HMRC Compliance","Expert Support Included","Get Started Today","Switch Today, Save Money","Better Support Available","Need a FreeAgent alternative? Genius Tax is simpler and HMRC Authorised.","FreeAgent too complicated? Genius Tax handles everything. From £29/month.","Switch to Genius Tax. Simpler interface. Better pricing. Full HMRC compliance.","FreeAgent expensive? We deliver HMRC compliance from £29/month. Cancel anytime."
"[GeniusTax] Competitor Conquest","Coconut/GoSimpleTax",Responsive Search Ad,Enabled,https://geniustax.co.uk/get-started?utm_source=google&utm_medium=cpc&utm_campaign=mtd_competitor&utm_content=comp_coconut&utm_term={keyword},pricing,alternatives,"Coconut Alternative Available","GoSimpleTax Alternative Here","Better Than Coconut App","HMRC Authorised Alternative","Simplify Your MTD Now","Genius Tax vs Coconut","Genius Tax vs GoSimpleTax","Simpler MTD Solution Here","From £29/Month","Full HMRC Compliance","Expert Support Available","Get Started Today","Switch Today, Save Now","Better Pricing Available","Make Your Move","Looking for a Coconut or GoSimpleTax alternative? Genius Tax is HMRC Authorised.","We simplify MTD compliance. HMRC Authorised. From £29/month. No contracts.","Switch to Genius Tax. Simpler platform. Better pricing. Full HMRC support.","Coconut or GoSimpleTax user? We deliver HMRC compliance better. From £29/month."
